CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2013-1085,CWE-119 - CWE definition,119,Groupwise Messenger,2013-03-29,Exec Code Overflow
CVE-2011-3179,CWE-200 - CWE definition,200,Groupwise Messenger,2011-12-08,+Info
CVE-2008-2704,CWE-20 - CWE definition,20,Groupwise Messenger,2008-06-13,DoS
CVE-2008-2703,CWE-119 - CWE definition,119,Groupwise Messenger,2008-06-13,Exec Code Overflow
CVE-2006-4511,,,Groupwise Messenger,2006-10-05,DoS
CVE-2006-0992,,,Groupwise Messenger,2006-04-14,Exec Code Overflow
