CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2013-7042,CWE-264 - CWE definition,264,Suse Lifecycle Management Server,2013-12-10,+Priv
CVE-2013-3710,CWE-310 - CWE definition,310,Suse Lifecycle Management Server,2013-12-10,
CVE-2013-3709,CWE-264 - CWE definition,264,Suse Lifecycle Management Server,2013-12-23,+Priv
CVE-2011-0993,CWE-264 - CWE definition,264,Suse Lifecycle Management Server,2014-04-16,+Info
CVE-2010-1325,CWE-352 - CWE definition,352,Suse Lifecycle Management Server,2010-09-03,CSRF
