CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2017-14496,CWE-191 - CWE definition,191,Leap,2017-10-02,DoS
CVE-2017-14495,CWE-772 - CWE definition,772,Leap,2017-10-02,DoS
CVE-2017-14494,CWE-200 - CWE definition,200,Leap,2017-10-02,+Info
CVE-2017-14492,CWE-119 - CWE definition,119,Leap,2017-10-02,DoS Exec Code Overflow
CVE-2017-14491,CWE-119 - CWE definition,119,Leap,2017-10-03,DoS Exec Code Overflow
CVE-2017-13704,CWE-20 - CWE definition,20,Leap,2017-10-02,
CVE-2016-9106,CWE-399 - CWE definition,399,Leap,2016-12-09,DoS
CVE-2015-5219,CWE-704 - CWE definition,704,Leap,2017-07-21,DoS
CVE-2014-9853,CWE-399 - CWE definition,399,Leap,2017-03-17,DoS
