CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2011-3014,CWE-264 - CWE definition,264,Data Synchronizer,2011-08-09,+Info
CVE-2011-3013,CWE-310 - CWE definition,310,Data Synchronizer,2011-08-09,
CVE-2011-2224,CWE-79 - CWE definition,79,Data Synchronizer,2011-08-09,XSS
CVE-2011-2223,CWE-310 - CWE definition,310,Data Synchronizer,2011-08-09,+Info
CVE-2011-2222,,,Data Synchronizer,2011-08-09,
CVE-2011-2221,CWE-264 - CWE definition,264,Data Synchronizer,2011-08-09,Bypass +Info
CVE-2011-1711,,,Data Synchronizer,2011-06-08,
