CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2019-15847,CWE-331 - CWE definition,331,GCC,2019-09-02,
CVE-2018-12886,CWE-119 - CWE definition,119,GCC,2019-05-22,Overflow Bypass
CVE-2017-11671,CWE-338 - CWE definition,338,GCC,2017-07-26,
CVE-2015-5276,CWE-200 - CWE definition,200,GCC,2015-11-17,+Info
CVE-2008-1685,CWE-119 - CWE definition,119,GCC,2008-04-06,Overflow
CVE-2008-1367,CWE-399 - CWE definition,399,GCC,2008-03-17,Mem. Corr.
CVE-2006-1902,CWE-119 - CWE definition,119,GCC,2006-04-20,Overflow
CVE-2000-1219,,,GCC,2000-11-01,Overflow
