CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2010-0001,CWE-189 - CWE definition,189,Gzip,2010-01-29,DoS Exec Code
CVE-2009-2624,CWE-20 - CWE definition,20,Gzip,2010-01-29,DoS Exec Code
CVE-2005-1228,,,Gzip,2005-05-02,Dir. Trav.
CVE-2005-0988,,,Gzip,2005-05-02,
CVE-2005-0758,,,Gzip,2005-05-13,Exec Code
CVE-2004-0970,,,Gzip,2005-02-09,
CVE-2004-0603,,,Gzip,2004-12-06,Exec Code
CVE-2003-0367,CWE-20 - CWE definition,20,Gzip,2003-07-02,
CVE-2001-1228,,,Gzip,2001-11-18,Exec Code Overflow
