Product,URL,Num_Vulnerabilities
GIT,/vulnerability-list/vendor_id-4008/product_id-7026/GIT-GIT.html,6,7026,4008,Application
Git-shell,/vulnerability-list/vendor_id-4008/product_id-38236/GIT-Git-shell.html,1,38236,4008,Application
